date,day,dayType,dtDesc
1325376e3,Sun,14,Christmas Day / New Years Day
1325462400,Mon,7,First day of week - school holiday
1325548800,Tues,9,Middle of week - school holiday
1325635200,Wed,9,Middle of week - school holiday
1325721600,Thurs,9,Middle of week - school holiday
1325808e3,Fri,4,Last working day of normal week
1325894400,Sat,5,Saturday
1325980800,Sun,6,Sunday
1326067200,Mon,0,First working day of normal week
1326153600,Tues,1,Normal working Tuesday
132624e4,Wed,2,Normal working Wednesday
1326326400,Thurs,3,Normal working Thursday
1326412800,Fri,4,Last working day of normal week
1326499200,Sat,5,Saturday
1326585600,Sun,6,Sunday
1326672e3,Mon,0,First working day of normal week
1326758400,Tues,1,Normal working Tuesday
1326844800,Wed,2,Normal working Wednesday
1326931200,Thurs,3,Normal working Thursday
1327017600,Fri,4,Last working day of normal week
1327104e3,Sat,5,Saturday
1327190400,Sun,6,Sunday
1327276800,Mon,0,First working day of normal week
1327363200,Tues,1,Normal working Tuesday
1327449600,Wed,2,Normal working Wednesday
1327536e3,Thurs,3,Normal working Thursday
1327622400,Fri,4,Last working day of normal week
1327708800,Sat,5,Saturday
1327795200,Sun,6,Sunday
1327881600,Mon,0,First working day of normal week
1327968e3,Tues,1,Normal working Tuesday
1328054400,Wed,2,Normal working Wednesday
1328140800,Thurs,3,Normal working Thursday
1328227200,Fri,4,Last working day of normal week
1328313600,Sat,5,Saturday
13284e5,Sun,6,Sunday
1328486400,Mon,0,First working day of normal week
1328572800,Tues,1,Normal working Tuesday
1328659200,Wed,2,Normal working Wednesday
1328745600,Thurs,3,Normal working Thursday
1328832e3,Fri,4,Last working day of normal week
1328918400,Sat,5,Saturday
1329004800,Sun,6,Sunday
1329091200,Mon,0,First working day of normal week
1329177600,Tues,1,Normal working Tuesday
1329264e3,Wed,2,Normal working Wednesday
1329350400,Thurs,3,Normal working Thursday
1329436800,Fri,4,Last working day of normal week
1329523200,Sat,5,Saturday
1329609600,Sun,6,Sunday
1329696e3,Mon,0,First working day of normal week
1329782400,Tues,1,Normal working Tuesday
1329868800,Wed,2,Normal working Wednesday
1329955200,Thurs,3,Normal working Thursday
1330041600,Fri,4,Last working day of normal week
1330128e3,Sat,5,Saturday
1330214400,Sun,6,Sunday
1330300800,Mon,0,First working day of normal week
1330387200,Tues,1,Normal working Tuesday
1330473600,Wed,2,Normal working Wednesday
133056e4,Thurs,3,Normal working Thursday
1330646400,Fri,4,Last working day of normal week
1330732800,Sat,5,Saturday
1330819200,Sun,6,Sunday
1330905600,Mon,0,First working day of normal week
1330992e3,Tues,1,Normal working Tuesday
1331078400,Wed,2,Normal working Wednesday
1331164800,Thurs,3,Normal working Thursday
1331251200,Fri,4,Last working day of normal week
1331337600,Sat,5,Saturday
1331424e3,Sun,6,Sunday
1331510400,Mon,0,First working day of normal week
